id_centro,cod_estruturado,sigla_centro,nome_centro
78,08.00.00.00.0.0,CAL,Centro de Artes e Letras
81,12.00.00.00.0.0,CASM,Colégio Agrícola de Santa Maria - CASM
82,02.00.00.00.0.0,CCNE,Centro de Ciências Naturais e Exatas
85,03.00.00.00.0.0,CCR,Centro de Ciências Rurais
88,04.00.00.00.0.0,CCS,Centro de Ciências da Saúde
91,06.00.00.00.0.0,CCSH,Centro de Ciências Sociais e Humanas
94,05.00.00.00.0.0,CE,Centro de Educação
97,09.00.00.00.0.0,CEFD,Centro de Educação Física e Desportos
117,07.00.00.00.0.0,CT,Centro de Tecnologia
163,10.00.00.00.0.0,HUSM,Hospital Universitário de Santa Maria - HUSM
205,01.00.00.00.0.0,REITORIA,Reitoria
2010,16.00.00.00.0.0,CESNORS,Centro de Educação Superior Norte-RS/UFSM -CESNORS
2712,26.00.00.00.0.0,POLI,Colégio Politécnico
2732,25.00.00.00.0.0,CTISM,Colégio Técnico Industrial de Santa Maria
2752,27.00.00.00.0.0,CAFW,Colégio Agrícola de Frederico Westphalen - CAFW
3156,28.00.00.00.0.0,UDESM,Unidade Descentralizada Educ Superior UFSM Silveira Martins
3202,29.00.00.00.0.0,UEIIA,Unidade de Educação Infantil Ipê Amarelo
4051,31.00.00.00.0.0,CS,Campus da UFSM em Cachoeira do Sul
4564,32.00.00.00.0.0,PM,Campus da UFSM em Palmeira Das Missões
4634,33.00.00.00.0.0,FW,Campus da UFSM em Frederico Westphalen
4932,93.00.00.00.0.0,CEEBSERH,Colegiado Executivo EBSERH
7201,30.00.00.00.0.0,UEIA,Unidade de Educação Ipê Amarelo
