ID_CURSO,ID_CENTRO_SIE,NOME_CURSO,NIVEL_CURSO,MODALIDADE_CURSO,CLASSIFICACAO_CURSO
1891,82,PG-E Ensino de Matemática no Ensino Médio/EAD/Gramado/RS,Especialização,Especialização,EAD
2229,4564,PG em Saúde e Ruralidade - Mestrado Acadêmico/PM,Pós-Graduação,Mestrado,Presencial
2225,205,PROMOVER - Mobilidade virtual em rede,Graduação,Formação Especial,Apenas para vinculo dos alunos
2227,205,Mobilidade Virtual Internacional,Graduação,Formação Especial,Apenas para vinculo dos alunos
2224,3202,Controle de Inscrição e Matrícula da Educação,Ensino Básico,Educação Infantil,Presencial
811,117,PG Engenharia Civil - Mestrado,Pós-Graduação,Mestrado,Presencial
935,85,PG Mestrado em Ciência do Solo,Pós-Graduação,Mestrado,Presencial
936,85,PG Doutorado em Ciência do Solo,Pós-Graduação,Doutorado,Presencial
2245,2712,CPOL - Curso Técnico em Cooperativismo/Distância/Silveira Martins/RS,Pós-Médio,Técnico,EAD
1454,88,PG em Ciências Farmacêuticas - Doutorado,Pós-Graduação,Doutorado,Presencial
817,78,PG Letras - Doutorado,Pós-Graduação,Doutorado,Presencial
1021,88,PG em Farmacologia - Mestrado,Pós-Graduação,Mestrado,Presencial
1175,88,PG em Farmacologia - Doutorado,Pós-Graduação,Doutorado,Presencial
783,88,PG Distúrbios da Comunicação Humana - Mestrado,Pós-Graduação,Mestrado,Presencial
1057,82,PG em Matemática - Mestrado,Pós-Graduação,Mestrado,Presencial
1062,78,PG em Artes Visuais - Mestrado,Pós-Graduação,Mestrado,Presencial
1105,91,PG Profissionalizante em Patrimônio Cultural- Mestrado,Pós-Graduação,Mestrado,Presencial
1178,82,PG Biodiversidade Animal - Mestrado,Pós-Graduação,Mestrado,Presencial
715,85,PG Mestrado em Extensão Rural,Pós-Graduação,Mestrado,Presencial
1108,117,PG em Engenharia de Processos  - Mestrado,Pós-Graduação,Mestrado,Presencial
822,78,Música - Licenciatura,Graduação,Licenciatura,Presencial
844,91,História - Licenciatura Plena,Graduação,Licenciatura,Presencial
1244,91,Curso Superior de Tecnologia em Gestão de Turismo,Graduação,Tecnológico,Presencial
911,78,Desenho e Plástica - Desenho Industrial,Graduação,Bacharelado,Presencial
1127,82,PG em Meteorologia - Mestrado,Pós-Graduação,Mestrado,Presencial
1128,88,PG em Ciências Odontológicas - Mestrado,Pós-Graduação,Mestrado,Presencial
1556,88,PG em Ciências Odontológicas - Doutorado,Pós-Graduação,Doutorado,Presencial
1906,91,PG em Ciências Sociais - Doutorado,Pós-Graduação,Doutorado,Presencial
1130,82,PG-M Educação em Ciências: Química da Vida e Saúde,Pós-Graduação,Mestrado,Presencial
1186,91,PG em Psicologia da Saúde - Mestrado,Pós-Graduação,Mestrado,Presencial
1400,91,PG em História - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1793,91,PG em História - Doutorado,Pós-Graduação,Doutorado,Presencial
1406,91,PG em Economia e Desenvolvimento - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1408,88,PG-Mestrado Profissional em Ciências da Saúde,Pós-Graduação,Mestrado,Presencial
953,91,PG - Administração - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1464,97,PG - Educação Física - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1022,91,PG - Comunicação - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1480,117,PG em Engenharia Ambiental - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
1935,117,PG em Engenharia Ambiental - Doutorado Acadêmico,Pós-Graduação,Doutorado,Presencial
1576,82,PG em Educação Matemática e Ensino de Física - Mestrado,Pós-Graduação,Mestrado,Presencial
1695,94,PG em História em Rede Nacional - Mestrado Profissional,Pós-Graduação,Mestrado,Presencial
1792,88,PG em Nanotecnologia Farmacêutica - Doutorado,Pós-Graduação,Doutorado,Presencial
1796,88,PG em Reabilitação Funcional - Mestrado Acadêmico,Pós-Graduação,Mestrado,Presencial
2285,4634,PG-E Gestão de Tecnologia da Informação,Especialização,Especialização,Presencial
876,78,Letras - Espanhol,Graduação,Licenciatura,Presencial
