id_tipo_unidade,tipo_unidade
6,Coordenação Acadêmica
24,Assistente/Assessor
25,Unidade de TI
26,Unidade de Ensino
27,Direção de Unidade de Ensino
1,Unidade Universitária
2,Direção de Centro
3,Órgão Colegiado
4,Departamento Didático
5,Curso/Habilitação/Opção
10,Órgãos de Apoio
11,Órgão Suplementar Setorial
12,Laboratório
13,Subunidade Acadêmica
14,Subunidade Administrativa
15,Órgão de Direção e Assessoria
16,Órgão Executivo da Adm. Superior
17,Órgão Suplementar Central
18,Órgão de Ensino Médio e Tecnológico
19,Centros de Custo
20,Órgão não Pertencente a Estrut. Formal
21,Outros Órgãos
104,Unidade Orçamentária
22,Instituição Convênio
23,Projeto Administrativo
