id_unidade_sie,nome_unidade,cod_estruturado,id_centro_sie,id_tipo_unidade,id_situacao_unidade
5004,Unidade do Sistema Cardiovascular,93.01.07.02.3.0,163,14,2
5005,Unidade Neuro-Músculo-Esquelética,93.01.07.02.4.0,163,14,2
7204,Divisão Multiprofissional,30.04.00.00.0.0,7201,14,6
7203,Núcleo de Administração,30.03.00.00.0.0,7201,14,6
7202,Núcleo de Ensino,30.02.00.00.0.0,7201,14,6
7205,Subdivisão de Projetos,30.05.00.00.0.0,7201,14,6
7206,Subdivisão de Secretaria Escolar,30.03.01.00.0.0,7201,14,6
78,Centro de Artes e Letras,08.00.00.00.0.0,78,26,1
82,Centro de Ciências Naturais e Exatas,02.00.00.00.0.0,82,26,1
85,Centro de Ciências Rurais,03.00.00.00.0.0,85,26,1
91,Centro de Ciências Sociais e Humanas,06.00.00.00.0.0,91,26,1
94,Centro de Educação,05.00.00.00.0.0,94,26,1
97,Centro de Educação Física e Desportos,09.00.00.00.0.0,97,26,1
117,Centro de Tecnologia,07.00.00.00.0.0,117,26,1
2712,Colégio Politécnico,26.00.00.00.0.0,2712,26,1
3202,Unidade de Educação Infantil Ipê Amarelo,29.00.00.00.0.0,3202,26,1
4051,Campus da Universidade Federal de Santa Maria em Cachoeira do Sul,31.00.00.00.0.0,4051,26,1
4634,Campus da Universidade Federal de Santa Maria em Frederico Westphalen,33.00.00.00.0.0,4634,26,1
7201,Unidade de Educação Ipê Amarelo,30.00.00.00.0.0,7201,26,6
3201,"Coordenadoria de Educação Básica, Técnica e Tecnológica",01.17.00.00.0.0,205,18,1
287,Secretaria de Apoio Internacional,01.16.00.00.0.0,205,16,99
1202,Assistente - CPD,01.31.00.01.0.0,205,24,1
4240,Assistente do Restaurante Universitário,01.35.00.02.0.0,205,24,1
3243,Programa de Pós-Graduação em Residência em Área Profissional da Saúde-Medicina Veterinária,03.10.18.00.0.0,85,6,1
37,Curso de Odontologia,04.09.06.00.0.0,88,6,1
2343,Programa de Pós-Graduação em Ciências Odontológicas,04.10.20.00.0.0,88,6,1
2004,Programa de Pós-Graduação em Distúrbios Comunicação Humana,04.10.17.00.0.0,88,6,1
5453,Programa de Residência Multiprofissional,04.10.28.00.0.0,88,6,1
2737,Depto de Ensino,25.04.00.00.0.0,2732,4,99
101,Departamento de Ciências Florestais,03.30.00.00.0.0,85,4,1
133,Departamento de Defesa Fitossanitária,03.35.00.00.0.0,85,4,1
145,Departamento de Engenharia Rural,03.34.00.00.0.0,85,4,1
66,Departamento de Análises Clínicas e Toxicológicas,04.30.00.00.0.0,88,4,1
153,Departamento de Fisioterapia e Reabilitação,04.37.00.00.0.0,88,4,1
3851,Departamento de Serviço Social,06.90.00.00.0.0,91,4,1
3100,Auditoria Interna,40.03.00.00.0.0,205,21,1
3928,Comissão Permanente de Cadastro de Fornecedores - SICAF,01.18.04.02.0.0,205,3,1
193,Pró-Reitoria de Administração,01.05.00.00.0.0,205,15,1
3521,Pró-Reitoria de Gestão de Pessoas,01.26.00.00.0.0,205,15,1
2552,Pró-Reitoria de Infraestrutura,01.11.00.00.0.0,205,15,1
204,Coordenadoria de Comunicação Social,01.75.00.00.0.0,205,16,1
6676,Corregedoria Setorial,01.03.00.00.0.0,205,16,1
131,Departamento de Material e Patrimônio,01.18.00.00.0.0,205,16,1
159,Gabinete do Reitor,01.01.00.00.0.0,205,16,1
198,Procuradoria Federal Junto à Universidade Federal de Santa Maria,01.24.00.00.0.0,205,16,1
113,Centro de Processamento de Dados,01.31.00.00.0.0,205,17,1
2223,Departamento de Arquivo Geral,01.84.00.00.0.0,205,17,1
286,Editora,01.15.00.00.0.0,205,17,1
6612,"Parque de Inovação, Ciência e Tecnologia",01.28.03.00.0.0,205,17,1
4277,Núcleo de Informática - CS,31.22.00.00.0.0,4051,11,99
4278,Restaurante Universitário - CS,31.23.00.00.0.0,4051,11,99
4602,Gabinete de Projetos - PM,32.13.00.00.0.0,4564,11,99
508,Gabinete de Projetos - CCS,04.25.00.00.0.0,88,10,99
4561,Unidade de Apoio Pedagógico - CCS,04.29.00.00.0.0,88,10,99
552,Gabinete de Projetos - CE,05.27.00.00.0.0,94,10,99
554,Laboratório Pesquisa Documentação Educação Brasileira,05.30.00.00.0.0,94,10,99
3258,Gabinete de Projetos - CTISM,25.09.00.00.0.0,2732,10,99
4272,Gabinete de Projetos - CS,31.20.00.00.0.0,4051,10,99
1304,Secretaria Depto Análises Clínicas e Toxicológicas,04.30.00.01.0.0,88,13,99
519,Secretaria Depto Fisioterapia e Reabilitação,04.37.00.01.0.0,88,13,99
1776,Secretaria do Programa Pg Ciências Farmacêuticas,04.10.14.00.1.0,88,13,99
3617,Secretaria do Programa Pg em Farmacologia,04.10.16.00.1.0,88,13,99
4245,Secretaria Programa Pg Ciências Saúde - Mestrado Profissional,04.10.23.00.1.0,88,13,99
1252,Secretaria Depto Fundamentos da Educação,05.22.00.01.0.0,94,13,99
3607,Secretaria do Curso de Licenciatura Educação Especial - Noturno,05.09.09.00.1.0,94,13,99
4577,Secretaria dos Departamentos-PM,32.16.00.00.0.0,4564,13,99
5875,Secretaria dos Programas de Pós-Graduação - PM,32.23.00.00.0.0,4564,13,99
5365,Núcleo de Execução e Controle Orçamentário - CCS,04.04.07.00.0.0,88,14,99
4522,Núcleo de Patrimônio - CCS,04.04.06.00.0.0,88,14,99
1230,Secretaria de Apoio Administrativo - CCS,04.04.00.00.0.0,88,14,99
4528,Núcleo de Execução e Controle Orçamentário - CE,05.04.05.00.0.0,94,14,99
5956,Coordenadoria de Desenvolvimento Regional e Cidadania,01.07.05.00.0.0,205,14,99
1115,Seção Administrativa - PROJUR,01.24.00.01.0.0,205,14,99
2576,Setor de Planejamento Ambiental,01.11.03.04.0.0,205,14,99
5960,Subdivisão de Ações Comunitárias,01.07.05.02.0.0,205,14,99
5958,Subdivisão de Apoio a Projetos de Extensão,01.07.04.01.0.0,205,14,99
5954,Subdivisão de Divulgação de Eventos,01.07.00.05.0.0,205,14,99
2787,Assistente de Direção - CTISM,25.08.00.00.0.0,2732,14,99
2745,Coordenação de Registros Escolares,25.04.00.02.0.0,2732,14,99
2736,Departamento Administrativo,25.03.00.00.0.0,2732,14,99
2747,Laboratório de Manutenção em Informática,25.05.02.00.0.0,2732,14,99
2740,Secretaria Administrativa - CTISM,25.03.01.00.0.0,2732,14,99
2743,Setor de Compras - CTISM,25.03.04.00.0.0,2732,14,99
2742,Setor de Patrimônio - CTISM,25.03.03.00.0.0,2732,14,99
4081,Coordenação Administrativa - CS,31.05.00.00.0.0,4051,14,99
4274,Secretaria de Pesquisa e Extensão - CS,31.17.00.01.0.0,4051,14,99
4080,Secretaria do Campus em Cachoeira do Sul,31.04.00.00.0.0,4051,14,99
5870,Núcleo de Controle Orçamentário - PM,32.06.00.00.0.0,4564,14,99
5873,Secretaria da Direção - PM,32.14.00.00.0.0,4564,14,99
6788,Núcleo de Gestão Orçamentária do CAL,08.08.00.00.0.0,78,14,1
6779,Secretaria Administrativa do CAL,08.06.00.00.0.0,78,14,1
6780,Secretaria Integrada de Cursos de Graduação I do CAL,08.06.01.00.0.0,78,14,1
6781,Secretaria Integrada de Cursos de Graduação II do CAL,08.06.02.00.0.0,78,14,1
6783,Secretaria Integrada de Departamentos do CAL,08.06.04.00.0.0,78,14,1
6784,Subdivisão de Comunicação do CAL,08.06.05.00.0.0,78,14,1
6790,Subdivisão de Projetos do CAL,08.16.00.00.0.0,78,14,1
6271,Subdivisão de Comunicação do CCNE,02.06.05.00.0.0,82,14,1
6543,Núcleo de Gestão Orçamentária do CCR,03.07.00.00.0.0,85,14,1
6540,Núcleo de Infraestrutura do CCR,03.06.00.00.0.0,85,14,1
6534,Secretaria Administrativa do CCR,03.05.00.00.0.0,85,14,1
6535,Secretaria Integrada dos Cursos de Graduação Sig-Vaz/CCR,03.05.01.00.0.0,85,14,1
6541,Subdivisão de Patrimônio do CCR,03.06.01.00.0.0,85,14,1
6545,Subdivisão de Projetos do CCR,03.11.00.00.0.0,85,14,1
6542,Subdivisão de Tecnologia da Informação do CCR,03.06.02.00.0.0,85,14,1
6234,Divisão de Apoio Administrativo Às Ciências da Comunicação,06.14.07.00.0.0,91,14,1
6240,Núcleo de Gestão Orçamentária do CCSH,06.16.00.00.0.0,91,14,1
6221,Secretaria Administrativa do CCSH,06.14.00.00.0.0,91,14,1
6231,Secretaria Integrada de Departamentos do CCSH,06.14.05.00.0.0,91,14,1
6226,Secretaria Integrada dos Cursos de Graduação do CCSH III,06.14.03.00.0.0,91,14,1
6232,Subdivisão de Concursos e Promoções do CCSH,06.14.05.01.0.0,91,14,1
6233,Subdivisão de Comunicação do CCSH,06.14.06.00.0.0,91,14,1
6230,Subdivisão de Controle Financeiro das Pós-Graduações do CCSH,06.14.04.02.0.0,91,14,1
